,Similarity
0,0.9983156
1,0.9982368
2,0.9983247
3,0.9984382
4,0.9984325
5,0.9982368
6,0.9983583
7,0.99827963
8,0.9983666
9,0.9982607
10,0.9981054
11,0.99822265
12,0.99818105
13,0.998304
14,0.99830097
15,0.99809617
16,0.9983
17,0.99824125
18,0.99829596
19,0.99831194
20,0.99825346
21,0.99807155
22,0.99835587
23,0.9983044
24,0.9982409
25,0.99832684
26,0.99828017
27,0.99817824
28,0.9982031
29,0.9982867
30,0.99793637
31,0.9980546
32,0.99805355
33,0.99808854
34,0.9982726
35,0.99821275
36,0.99798757
37,0.99819183
38,0.9980736
39,0.99800724
40,0.99803364
41,0.9980748
42,0.99815536
43,0.99821496
44,0.998105
45,0.99819696
46,0.9981554
47,0.99834496
48,0.99838257
49,0.9982716
50,0.99826026
51,0.9980965
52,0.9982976
53,0.9983471
54,0.99838376
55,0.99830985
56,0.99825037
57,0.99832433
58,0.9982653
59,0.9983023
60,0.9982369
61,0.99828136
62,0.9982194
63,0.9982033
64,0.99821967
65,0.99820334
66,0.9982654
67,0.99823517
68,0.9982582
69,0.99813634
70,0.9983356
71,0.9982452
72,0.9981081
73,0.9980607
74,0.99819815
75,0.99821025
76,0.9981822
77,0.9981077
78,0.99816597
79,0.9981193
80,0.9981849
81,0.9981926
82,0.99826306
83,0.99824554
84,0.998295
85,0.99830556
86,0.99839634
87,0.998346
88,0.99826086
89,0.99831706
90,0.9981743
91,0.99827296
92,0.9983793
93,0.9983883
94,0.998483
95,0.99835247
96,0.9983898
97,0.9983171
98,0.9982632
99,0.99834096
100,0.9984746
101,0.99847436
102,0.9982565
103,0.99824655
104,0.9983414
105,0.99838734
106,0.9984586
107,0.99833316
108,0.99832636
109,0.99834555
110,0.9983416
111,0.99844605
112,0.99843955
113,0.99838656
114,0.99827284
115,0.9982377
116,0.9982969
117,0.99821454
118,0.99830544
119,0.9983
120,0.9984044
121,0.9983592
122,0.9984155
123,0.99845684
124,0.9983342
125,0.99828976
126,0.99838054
127,0.9984059
128,0.9982752
129,0.99832875
130,0.9982697
131,0.99828285
132,0.9983292
133,0.9984186
134,0.9981888
135,0.99843556
136,0.9984069
137,0.9983653
138,0.9985319
139,0.99828875
140,0.99820524
141,0.99837065
142,0.9982041
143,0.99810565
144,0.9984098
145,0.99822855
146,0.9982965
147,0.9981406
148,0.99818176
149,0.9982537
150,0.9983735
151,0.9983898
152,0.99839807
153,0.9983821
154,0.9982244
155,0.99835336
156,0.99832296
157,0.99832726
158,0.99838203
159,0.9983576
160,0.9983319
161,0.998409
162,0.99822474
163,0.9982878
164,0.9982975
165,0.9984217
166,0.99843115
167,0.9984057
168,0.9983448
169,0.99842817
170,0.9982435
171,0.99835443
172,0.9983113
173,0.9984016
174,0.99834573
175,0.99833727
176,0.9982405
177,0.9981989
178,0.99821234
179,0.9982285
180,0.99831516
181,0.9982953
182,0.9983419
183,0.99830884
184,0.99818456
185,0.998099
186,0.9981202
187,0.99826384
188,0.99835473
189,0.99820435
190,0.9983256
191,0.9982826
192,0.99816847
193,0.99820507
194,0.99814856
195,0.99841756
196,0.9983832
197,0.99827236
198,0.9982196
199,0.9981545
200,0.99822646
201,0.998353
202,0.99838555
203,0.99831593
204,0.99831146
205,0.9983566
206,0.99828815
207,0.99835694
208,0.99825436
209,0.9983444
210,0.99855256
211,0.998353
212,0.99834025
213,0.99827766
214,0.99830717
215,0.9984445
216,0.9983825
217,0.9983487
218,0.9983481
219,0.9984129
220,0.99845606
221,0.99845296
222,0.9983634
223,0.99834305
224,0.9982562
225,0.9983035
226,0.99826884
227,0.99813664
228,0.99839735
229,0.9983371
230,0.99830914
231,0.9982747
232,0.9983216
233,0.9983947
234,0.99824643
235,0.99835944
236,0.99834526
237,0.99838835
238,0.99839455
239,0.99835974
240,0.9982628
241,0.99821615
242,0.9982105
243,0.99829286
244,0.99819994
245,0.99823296
246,0.99834776
247,0.99833393
248,0.99824256
249,0.99821794
250,0.998211
251,0.9984329
252,0.99839306
253,0.99837863
254,0.9983443
255,0.998242
256,0.9981732
257,0.99810773
258,0.99813664
259,0.99827415
260,0.9982606
261,0.9982611
262,0.99819124
263,0.9981774
264,0.9981245
265,0.9980041
266,0.9981988
267,0.9982209
268,0.9981652
269,0.99824727
270,0.9983661
271,0.9982705
272,0.9981867
273,0.998215
274,0.9982968
275,0.9982775
276,0.9982584
277,0.998249
278,0.99839693
279,0.99834096
280,0.99831754
281,0.99832296
282,0.99824446
283,0.99820375
284,0.9982254
285,0.99813336
286,0.9982221
287,0.9982585
288,0.9981137
289,0.99808866
290,0.9980322
291,0.99792844
292,0.9980629
293,0.9980298
294,0.99819607
295,0.9981233
296,0.99814415
297,0.9981609
298,0.9983092
299,0.9982727
300,0.9982705
301,0.99819857
302,0.9983491
303,0.998371
304,0.99839747
305,0.998213
306,0.99836254
307,0.99826115
308,0.998278
309,0.99841845
310,0.99826115
311,0.9983225
312,0.9982602
313,0.99829215
314,0.9981623
315,0.99814874
316,0.99840087
317,0.99839723
318,0.9982867
319,0.9983057
320,0.99831605
321,0.99821156
322,0.9982934
323,0.99832666
324,0.99826735
325,0.99826413
326,0.9983169
327,0.9982831
328,0.998316
329,0.99820954
330,0.99831516
331,0.99820656
332,0.9980884
333,0.9982006
334,0.99817467
335,0.9982559
336,0.9981115
337,0.9982138
338,0.9982554
339,0.99818933
340,0.998253
341,0.9980844
342,0.9982602
343,0.99827266
344,0.9983131
345,0.99824196
346,0.9981814
347,0.9981931
348,0.9981811
349,0.99810946
350,0.99811196
351,0.99829036
352,0.99827033
353,0.9982869
354,0.9983261
355,0.9983122
356,0.99830085
357,0.9981374
358,0.9982484
359,0.9982709
360,0.9981107
361,0.99804294
362,0.9981614
363,0.9981974
364,0.9981947
365,0.9980995
366,0.99818105
367,0.99823505
368,0.99828535
369,0.9982319
370,0.998249
371,0.99825275
372,0.9982601
373,0.99820083
374,0.9982872
375,0.99842024
376,0.99827605
377,0.9982265
378,0.99823433
379,0.9983303
380,0.9982972
381,0.9982541
382,0.99816906
383,0.998168
384,0.9982254
385,0.9981487
386,0.9981838
387,0.9982522
388,0.99831396
389,0.9982371
390,0.99825954
391,0.9981803
392,0.9982857
393,0.9983082
394,0.9982594
395,0.9983287
396,0.9982085
397,0.99837077
398,0.9982485
399,0.9982532
400,0.9982229
401,0.99829566
402,0.99831825
403,0.9982245
404,0.9982887
405,0.99815714
406,0.9982586
407,0.9981631
408,0.9982509
409,0.9984502
410,0.99830484
411,0.99834716
412,0.9984181
413,0.99838907
414,0.9985034
415,0.99847156
416,0.9984437
417,0.99837935
418,0.9983316
419,0.998352
420,0.9984091
421,0.99841917
422,0.99838823
423,0.9982184
424,0.99829006
425,0.9982793
426,0.99823016
427,0.99819624
428,0.9982461
429,0.9982555
430,0.9982655
431,0.9983339
432,0.9983459
